Key,en,ja,ko
Type_Name_23_01,Runic Carapace,ルーンの甲殻,룬 갑각
Type_Name_24_01,Scroll,巻物,두루마리
Type_Name_34_01,Predation,捕食,포식
Type_Name_34_02,Swallowed,飲み込まれる,삼켜짐
Type_Name_33_01,Soprano,ソプラノ,소프라노
Type_Name_33_02,Mezzo-Soprano,メゾソプラノ,메조소프라노
Type_Name_33_03,Alto,アルト,알토
Type_Name_43_01,Face-Off,対峙,대면
Type_Name_43_02,Clash,打ち合い,합
Type_Name_43_03,Clash,打ち合い,합합
Type_Name_44_01,Challenger,挑戦者,도전자
Type_Name_44_02,Encirclement,包囲,포위
Type_Name_44_03,Exhaustion,脱力,탈진
Type_Name_42_01,Formation,隊列,대열
Type_Name_42_02,Marching Orders,進軍命令,진군 명령
Type_Name_42_03,Formation Break,陣形崩壊,진영 붕괴
Type_Name_42_04,Rally,再集結,재집결
Type_Name_50_01,Doubt,疑念,의심
Type_Name_50_02,Intimidated,萎縮,위축
Type_Name_50_03,Encouragement,激励,격려
Type_Name_33_04,Trio,トリオ,트리오
Type_Name_33_05,Duet,デュエット,듀엣
Type_Name_33_06,Solo,ソロ,솔로
Type_Name_25_01,Unidentified Rune,未解読のルーン,미해독 룬
Type_Name_25_02,Current Rune,現在のルーン,현재 룬
Type_Name_25_03,Rune Storm Warning,ルーンストーム予告,룬 폭풍 예고
Type_Name_25_04,Trace of Deciphering,解読痕跡,판독 흔적
Type_Name_35_01,Agape,アガペー,아가페
Type_Name_35_02,Divine Veil,神聖ヴェール,신성 장막
Type_Name_35_03,Devotion,献身,헌신
Type_Name_35_04,Obsession,執着,집착
Type_Name_35_05,Balance,均衡,균형
Type_Name_45_01,Preparation {0},備え {0},대비 {0}
Type_Name_45_02,Mastery,熟練,숙련
Type_Name_45_03,Opening {0},隙 {0},빈틈 {0}
Type_Name_51_01,Phantom Veil,幻影ヴェール,허상 장막
Type_Name_51_02,Doubt,疑念,의심
Type_Name_51_03,Misjudgment,誤判,오판
Type_Name_51_04,Trust,信頼,신뢰
Type_Name_51_05,Authority,権威,권위
Type_Text_23_01,"Defense +{0}
Decreases by 1 on attack damage taken
When it reaches 0, gain {1} Attack at the start of next enemy turn and use Tidal Wave","防御力 +{0}
攻撃ダメージを受けるたびに1減少する。
0になると、次の敵ターン開始時に攻撃力 +{1},
「海流波動」を使用する。","방어력 +{0}
공격 피해를 받을 때마다 1 감소
0이 되면 다음 적 턴에 공격력 +{1}, 해류 파동 사용"
Type_Text_24_01,"If any Flip survives at the end of the enemy turn, +1
At {0}, remove all Flip at the start of enemy turn
Deal {1} damage to all allies and reset the stack
If below {0} at the end of enemy turn,
summon a Flip","敵ターン終了時、生存しているフリップがいる場合+1
{0}になると、次の敵ターン開始時にフリップを解除
味方全体に{1}ダメージを与え、スタックを初期化
敵ターン終了時、{0}未満ならフリップを召喚","적 턴 종료 시 생존한 플립이 있으면 +1
{0}일 때 다음 적 턴 시작 시 플립을 제거하고
아군 전체에게 피해 {1} 및 스택 초기화
적 턴 종료 시 {0} 미만이면 플립 소환"
Type_Text_34_01,"Decreases by the attack damage taken
When it reaches 0, spit out the swallowed target
If any stacks remain at the end of the player's turn
Deal {0} damage to the target, recover {1} HP,
then spit out the target","受けた攻撃ダメージ分減少
0になると、飲み込んだ対象を吐き出す
プレイヤーターン終了時、スタックが残っている場合
対象に{0}ダメージを与え、HP {1}回復した後、対象を吐き出す","받은 공격 피해만큼 감소
0이 되면 삼킨 대상을 뱉어냄
플레이어 턴 종료 시 스택이 존재할 경우
대상에게 피해 {0}, 체력 {1} 회복 후 뱉어냄"
Type_Text_34_02,"Can't use cards
Removed immediately when spat out or when Grolly is dead
Can't be reduced to 0 HP by damage taken when swallowed or spat out","カード使用できない
吐き出されるか、グロリーが倒されると即座に解除
飲み込まれる時や吐き出される時に受けるダメージではHPが0にならない","카드를 사용할 수 없음
뱉어지거나 그롤리가 처치되면 즉시 해제
삼키거나 뱉을 때 받는 피해로 체력이 0이 되지 않음"
Type_Text_33_01,"{0}
{1}","{0}
{1}","{0}
{1}"
Type_Text_33_02,"{0}
{1}","{0}
{1}","{0}
{1}"
Type_Text_33_03,"{0}
{1}","{0}
{1}","{0}
{1}"
Type_Text_43_01,"When attacking the Nameless Swordsman,
Attacker and Nameless Swordsman: Clash +1
Attack damage to Nameless Swordsman +{0} per Clash
Remove Clash when this is removed","無名剣士を攻撃時、自身と無名剣士の「打ち合い」 +1
無名剣士に与える攻撃ダメージが「打ち合い」1につき +{0}
解除の時、「打ち合い」をすべて解除","무명검객을 공격 시 자신과 무명검객의 '합' +1
무명검객에게 주는 공격 피해가 '합' 1당 +{0}
해제 시 '합' 전부 제거"
Type_Text_43_02,Maximum {0},最大 {0},최대 {0}
Type_Text_43_03,"Max {0}
-{1} when attacked by non Face-Off (max {2} per turn)
This strengthens Issen","最大{0}
「対峙」状態ではない攻撃を受けると-{1}（1ターン最大{2}）
数値が高いほど「一閃」強化","최대 {0}
'대면' 상태가 아닌 공격을 받으면 -{1} (턴당 최대 {2})
수치가 높을수록 일섬 강화"
Type_Text_44_01,Next Sweep Target,次の薙ぎ払い対象,다음 휩쓸기의 대상
Type_Text_44_02,"Number of allies that attacked this player turn
At 3 or more, use Whirlwind on next enemy turn","このプレイヤーターンに攻撃した味方の人数
3 以上で次の敵ターンに「大回転」を使用","이번 플레이어 턴에 공격한 아군의 수
3 이상일 경우 다음 적 턴에 대회전 사용"
Type_Text_44_03,"Accumulated Damage {0}, Damage Taken +{1}%
Removed at the end of the player turn
When removed, recover {2}% of lost HP (Max {3})
When accumulated damage is {4} or more: Attack +{5},
{6} or more: Defense +{7}","累積ダメージ {0}、被ダメージ +{1}%
プレイヤーターン終了時に解除
解除時、失ったHPの {2}%回復（最大{3}）
累積ダメージ {4}以上で攻撃力 +{5}、
{6}以上で防御力 +{7}","누적 피해 {0}, 받는 추가 피해 +{1}%
플레이어 턴 종료 시 해제
해제 시 잃은 체력의 {2}% 회복(최대 {3})
누적 피해가 {4} 이상이면 공격력 +{5},
{6} 이상이면 방어력 +{7}"
Type_Text_42_01,"Max {0}
-1 when taking attack damage
Knight Commander takes {1}% reduced attack damage per Formation (Max {2}%)","最大 {0}
攻撃ダメージを受けるたび -1
隊列1につき騎士団長が受ける攻撃ダメージ-{1}%（最大{2}%）","최대 {0}
공격 피해를 받을 때마다 -1
대열 1당 기사단장이 받는 공격 피해 -{1}%(최대 {2}%)"
Type_Text_42_02,"At turn end, all Wraith Soldiers: Formation +{0}
Target the ally that played the most cards this turn","ターン終了時、すべての兵士霊の「隊列」 +{0}
このターン最も多くカードを使用した味方を標的にする","턴 종료 시 모든 검은 병사령의 대열 +{0}
이번 턴에 카드를 가장 많이 사용한 아군을 지목"
Type_Text_42_03,"Skip next turn
Attack Damage Taken +{0}% until end of next player turn","次のターン行動しない
次のプレイヤーターン終了まで受ける攻撃ダメージ +{0}%","다음 턴에 행동하지 않음
다음 플레이어 턴 종료 전까지 받는 공격 피해 +{0}%"
