Key,en,ja,ko
Gatekeeper_Card_Name_1,Encouragement,応援,응원
"Gatekeeper_Card_Name_2
",Calm,鎮静,진정
Gatekeeper_Card_Name_3,Refresh,転換,환기
Gatekeeper_Card_Name_4,Blessing,祈願,축원
Gatekeeper_Card_Name_5,Advice,直言,직언
Gatekeeper_Card_Name_6,Comfort,慰め,위로
Gatekeeper_Card_Name_7,Resolve,決断,결단
Gatekeeper_Card_Name_8,Awakening,覚醒,각성
Gatekeeper_Card_Name_9,Protection,守護,보호
Gatekeeper_Card_Text_1,"Doubt -{0}, give {0} Burn to the Gatekeeper",疑念 -{0}、ゲートキーパーに火傷 {0},"의심 -{0}, 문지기에게 화상 {0}"
Gatekeeper_Card_Text_2,"Doubt -{0}, give {0} Freeze to the Gatekeeper",疑念 -{0}、ゲートキーパーに凍結 {0},"의심 -{0}, 문지기에게 빙결 {0}"
Gatekeeper_Card_Text_3,"Doubt -{0}, reduce the cost of the target character's next card by 1
If the cost has already been reduced this turn,
reduce Doubt by an additional 1 instead","疑念-{0}、対象キャラクターの次のカードのコスト-1
同じターンにすでにコストが減少している場合、代わりに疑念 1減少させる","의심 -{0}, 대상 캐릭터의 다음 카드 비용 -1
같은 턴에 이미 비용 감소가 걸려 있다면 비용 감소 대신 의심 -1 추가 감소"
Gatekeeper_Card_Text_4,"Doubt -{0}, grant the target character 1 Blessing",疑念 -{0}、対象キャラクターに祝福1,"의심 -{0}, 대상 캐릭터에게 축복 1"
Gatekeeper_Card_Text_5,"Doubt -{0}, gain 2 Sin",疑念 -{0}、自分に罪悪2,"의심 -{0}, 사용자에게 죄악 2"
Gatekeeper_Card_Text_6,"Doubt -{0}, restore {1} HP to the target character",疑念 -{0}、対象キャラクターのHPを{1}回復,"의심 -{0}, 대상 캐릭터 체력 {1} 회복"
Gatekeeper_Card_Text_7,"Doubt -{0}, apply {1} Scar to the Gatekeeper",疑念 -{0}、ゲートキーパーに傷{1},"의심 -{0}, 문지기에게 상처 {1}"
Gatekeeper_Card_Text_8,"Doubt -{0}, apply {1} Stun to the Gatekeeper",疑念 -{0}、ゲートキーパーにスタン{1},"의심 -{0}, 문지기에게 기절 {1}"
Gatekeeper_Card_Text_9,"Doubt -{0}, grant the target character {1} Defense",疑念 -{0}、対象キャラクターに防御力{1},"의심 -{0}, 대상 캐릭터에게 방어력 {1}"
