Key,en,ja,ko
Style_Title,Writing Style,文体編集所,문체 편집소
Style_Current,Current Style,現在の適用文体,현재 적용 문체
Style_Upgrade,Upgrade effect,文体効果の強化,효과별 강화
Style_Library,Style Library,文体図書館,문체 도서관
Style_ClickToChange,* Click to Change Style,* クリックして文体を変更,* 클릭하여 문체 교체
Style_Popup_Change,Do you want to switch your writing style?,文体を切り替えますか？,문체를 교환하시겠습니까?
Style_Effect1,Effect 1,効果 1,효과 1
Style_Effect2,Effect 2,効果 2,효과 2
Style_ClickToUpgrade,Click to Upgrade,クリックして強化,클릭하여 강화
Style_Popup_Upgrade,Do you want to upgrade this style?,文体を強化しますか？,문체를 강화하시겠습니까?
Style_OnApply,Current,適用中,적용중
Confirm,Confirm,確認,확인
Cancel,Cancel,キャンセル,취소
Style_Popup_LackInk,Not enough ink,インクが足りません。,잉크가 부족합니다
FullUpgrade,Max Level,最大レベル,최대 강화 상태
Style_Passage_P,Positive Passage,肯定の一節,긍정적인 구절
Style_Passage_N,Negative Passage,否定の一節,부정적인 구절
