Key,en,ko,ja
Camp_OT_01_01_K,수녀원에 있을 땐 이 시간에도 기도했어요,수녀원에 있을 땐 이 시간에도 기도했어요,수녀원에 있을 땐 이 시간에도 기도했어요
Camp_OT_01_02_L,잠은 언제 잤는데?,잠은 언제 잤는데?,잠은 언제 잤는데?
Camp_OT_01_03_K,기도하다 졸았죠,기도하다 졸았죠,기도하다 졸았죠
Camp_OT_01_04_S,그건 그냥 수면이잖아,그건 그냥 수면이잖아,그건 그냥 수면이잖아
Camp_OT_01_05_K,...신께서 허락하신 수면이에요,...신께서 허락하신 수면이에요,...신께서 허락하신 수면이에요
Camp_OT_01_06_D,그게 뭐야...,그게 뭐야...,그게 뭐야...
Camp_OT_02_01_D,별이 별로 안 보이네,별이 별로 안 보이네,별이 별로 안 보이네
Camp_OT_02_02_L,옛날엔 많았다고 들었어,옛날엔 많았다고 들었어,옛날엔 많았다고 들었어
Camp_OT_02_03_S,어떤 왕국에서 별을 궁전 장식에 쓰겠다고 다 따간 이후로 다 사라졌지,어떤 왕국에서 별을 궁전 장식에 쓰겠다고 다 따간 이후로 다 사라졌지,어떤 왕국에서 별을 궁전 장식에 쓰겠다고 다 따간 이후로 다 사라졌지
Camp_OT_02_04_D,...별을?,...별을?,...별을?
Camp_OT_02_05_L,하늘에 있는 그 별을?,하늘에 있는 그 별을?,하늘에 있는 그 별을?
Camp_OT_02_06_S,응,응,응
Camp_OT_02_07_K,그건 전설이잖아요,그건 전설이잖아요,그건 전설이잖아요
Camp_OT_02_08_S,전설이 아니라 역사서에도 적혀 있었어,전설이 아니라 역사서에도 적혀 있었어,전설이 아니라 역사서에도 적혀 있었어
Camp_OT_02_09_L,그 역사서 제목이 뭔데?,그 역사서 제목이 뭔데?,그 역사서 제목이 뭔데?
Camp_OT_02_10_S,세상에서 가장 바보같은 왕들',세상에서 가장 바보같은 왕들',세상에서 가장 바보같은 왕들'
Camp_OT_02_11_D,...그건 역사서가 아닌 것 같은데,...그건 역사서가 아닌 것 같은데,...그건 역사서가 아닌 것 같은데
Camp_OT_02_12_K,그래도 책 내용이 조금 궁금하긴 하네요,그래도 책 내용이 조금 궁금하긴 하네요,그래도 책 내용이 조금 궁금하긴 하네요
Camp_OT_02_13_L,너까지 왜 그래,너까지 왜 그래,너까지 왜 그래
Camp_OT_03_01_L,오늘 수프는 맛있네,오늘 수프는 맛있네,오늘 수프는 맛있네
Camp_OT_03_02_S,내가 만든 거니까,내가 만든 거니까,내가 만든 거니까
Camp_OT_03_03_D,어제도 네가 만들었잖아,어제도 네가 만들었잖아,어제도 네가 만들었잖아
Camp_OT_03_04_L,어제는 별로였어,어제는 별로였어,어제는 별로였어
Camp_OT_03_05_S,뭐?,뭐?,뭐?
Camp_OT_03_06_K,전 어제 것도 맛있었는데요,전 어제 것도 맛있었는데요,전 어제 것도 맛있었는데요
Camp_OT_03_07_L,평소에 수도원에서 뭘 먹은거야,평소에 수도원에서 뭘 먹은거야,평소에 수도원에서 뭘 먹은거야
