index,cost ,illustration,name,text,type,class,cardframe,target_type,target_num,note,flavortext,skilleffect,damage,heal,atk_buff,def_buff,discount,draw,redraw,self_damage,block,blind,stun,reduceCost,discard,duplicate,unableAttack,drawTarget,cond_type,cond_value,cond_effect_type,cond_effect_value
1000,1,illust_0,나비불,적에게 8의 피해를 줍니다.,0,0,frame_0,2,1,,날갯짓 하나로 피어난 작은 불꽃입니다.,fanfx2_fire_spell_large_orange,8,,,,,,,,,,,,,,,,,,,
1001,1,illust_18,정화의 불꽃,카드를 2장 버리고 1턴 동안 모든 아군의 공격력이 1증가합니다.,0,0,frame_0,0,3,,쓸모없는 것을 불태워 힘으로 전환합니다.,fanfx2_fire_spell_large_red,,,1!1!3,,,,,,,,,,2,,,,,,,
1002,2,illust_29,불꽃 주먹,소피아의 체력이 3 감소하고 적에게 12의 피해를 줍니다.,0,0,frame_0,2,1,,자신을 희생한 마법은 그 위력이 더 강력합니다.,pj2_fireball_large_red,12,,,,,,,8,,,,,,,,,,,,
1003,1,illust_10,얼음 파편,적 둘에게 4의 피해를 주고 일시적인 복사본을 생성합니다. 카드를 사용할 때마다 강화됩니다.,1,0,frame_1,2,2,사용할 때마다 데미지가 2 더 증가합니다.,우박처럼 쏟아지는 얼음 조각을 피하기란 쉽지 않습니다.,fanfx2_ice_spell_large_blue,4,,,,,,,,,,,,,1,,,isUsedParticularCard,1003,applyDamage,2
1004,2,illust_30,서리대지,소피아의 체력이 3 감소하고 적 전체에게 8의 피해를 줍니다. '상단'일 때 강화됩니다.,1,0,frame_1,2,3,강화 시 체력이 감소하지 않습니다.,지면의 닿는 모든 것을 얼려버리는 냉기입니다.,fanfx2_earth_spikes_large_blue,8,,,,,,,3,,,,,,,,,isStance,0,heal,3
1005,2,illust_27,서리방벽,1턴 동안 모든 아군의 방어력이 4 증가합니다.,1,0,frame_1,0,3,,서리방벽 내부는 생각보다 따뜻하다고 합니다.,fx3_toon_explosion_large_blue,,,,4!1!3,,,,,,,,,,,,,,,,
1006,1,illust_22,역전류,사용한 소피아 카드 1장을 가져옵니다.,2,0,frame_2,0,0,,마법사에게 전류의 흐름을 뒤집는 건 어렵지 않다고 합니다.,fx3_lightning_aura_large_yellow,,,,,,,1,,,,,,,,,,,,,
1007,2,illust_11,전자 지류,적에게 6의 피해를 주고 기절시킵니다.,2,0,frame_2,2,1,,지하를 흐르던 전류가 마법에 이끌려 지면 위로 솟구칩니다.,fanfx2_lightning_spell_large_yellow,6,,,,,,,,,,1,,,,,,,,,
1008,2,illust_16,직렬 연결,소피아 카드를 뽑습니다. 전격 카드라면 비용이 1 감소합니다.,2,0,frame_2,0,0,,적절한 전력은 두뇌 회전에도 도움이 될 수 있습니다.,fx3_lightning_aura_large_blue,,,,,,1,,,,,,,,,,,isDrawCard,2,reduceCost,1!1
1009,0,illust_6,가벼운 한 모금,대상의 다음 카드의 비용이 1 감소하고 1턴 동안 공격력이 1 감소합니다.,3,0,frame_3,2,3,,소피아의 물약은 늘 기묘한 기대와 불안감을 줍니다.,fanfx1_spellcast_B_large_green,,,-1!1!3,,,,,,,,,1!4,,,,,,,,
1010,1,illust_15,자연의 숨결,아군의 체력을 6 회복합니다.,3,0,frame_3,1,1,,바람을 타고 날아온 푸르름은 활력을 불어넣습니다.,fx2_slash_large_green,,6,,,,,,,,,,,,,,,,,,
1011,3,illust_9,원소 반응,모든 적에게 10의 피해를 줍니다. '화염' & '빙결' 카드를 모두 사용한 턴 동안 강화됩니다.,3,0,frame_3,2,3,강화 시 데미지가 6 더 증가합니다.,불과 얼음의 원소 마법에 반응한 자연은 평소보다 격렬해집니다.,fanfx2_wind_spell_large_green,10,,,,,,,,,,,,,,,,isUsedAllCard,0/1,damage,6
2000,1,illust_12,축성,2턴 동안 아군의 공격력이 2 증가합니다.,4,1,frame_4,1,1,,기도는 무기가 되고 무기는 다시 믿음이 됩니다.,fanfx1_spellcast_B_small_red,,,2!2!4,,,,,,,,,,,,,,,,,
2001,2,illust_21,정신 집중,1턴 동안 카일라의 공격력이 2 증가하고 다음 카일라 카드의 비용이 1 감소합니다.,4,1,frame_4,0,0,,신앙심은 일격을 위한 준비에도 도움이 됩니다.,fx2_magic_swirl_large_yellow,,,2!1!1,,,,,,,,,1!1,,,,,,,,
2002,1,illust_13,고통의 속박,카일라의 체력이 2 감소하고 한 턴동안 적의 공격력이 4 감소합니다.,5,1,frame_5,2,1,,감내한 고통은 적을 묶는 대가가 됩니다.,fanfx1_spellcast_C_large_red,,,-4!1!4,,,,,2,,,,,,,,,,,,
2003,1,illust_19,기억 소각,카드 1장을 버리고 적이 기절합니다.,5,1,frame_5,2,1,,성직자들은 생각보다 다양한 마법을 사용할 수 있습니다. 그들의 본성이 선해서 다행입니다.,impfx1_dust_impact_A_large_violet,,,,,,,,,,,1,,1,,,,,,,
