index,target_type,target_num,target_front,target_center,target_back,arg_effect1,arg1,arg_target1,arg_effect2,arg2,arg_target2,use_condition,use_condition_value,value_modifier,modifier_status,modifier_value,modifier_condition_value,special_logic,effect,soundIndexes,soundDelays
101,1,1,1,1,0,Damage,6,SkillTarget,None,0,None,None,0,AddTargetStatusValue,Scar,0,0,None,10_101_effect,801,0.3
102,1,3,1,1,1,Attack,-1,SkillTarget,None,0,None,None,0,None,None,0,0,None,,803,0.6
111,1,1,1,1,0,Damage,9,SkillTarget,Scar,3,SkillTarget,None,0,None,None,0,0,None,11_111_effect,802,0.15
112,1,3,1,1,1,Attack,-2,SkillTarget,Stun,2,SkillTarget,None,0,None,None,0,0,None,,803,0.6
113,1,1,1,0,0,Damage,8,SkillTarget,Stun,4,SkillTarget,SelfHpBelow,50,None,None,0,0,None,11_113_effect,802,0.15
201,1,1,1,1,1,Damage,6,SkillTarget,Stun,2,SkillTarget,None,0,None,None,0,0,None,20_201_effect,807,0
202,1,3,1,1,1,Damage,5,SkillTarget,Attack,-1,SkillTarget,None,0,None,None,0,0,None,20_202_effect,809,0.3
211,1,1,1,1,1,Damage,5,SkillTarget,Heal,4,LowestHpAlly,None,0,None,None,0,0,None,21_211_effect,812,0
212,2,3,1,1,1,Heal,3,SkillTarget,Defense,2,SkillTarget,None,0,None,None,0,0,None,,813,0.8
221,1,1,1,1,1,Damage,5,SkillTarget,Potential,-2,None,None,0,None,None,0,0,None,22_221_effect,810,0
222,1,3,1,1,1,Damage,4,SkillTarget,Stun,3,SkillTarget,None,0,None,None,0,0,None,22_222_effect,811,0.3
231,1,1,1,1,0,Damage,8,SkillTarget,Defense,-2,SkillTarget,None,0,None,None,0,0,None,23_231_effect,"808,809","0.00,0.67"
232,2,3,1,1,1,Defense,2,SkillTarget,None,0,None,None,0,None,None,0,0,None,,808,0.2
233,1,3,1,1,1,Damage,6,SkillTarget,Potential,-2,None,None,0,None,None,0,0,None,23_233_effect,820,0
241,1,1,1,1,0,Damage,8,SkillTarget,Defense,-1,SkillTarget,None,0,None,None,0,0,None,24_241_effect,815,0.2
242,1,2,1,1,1,Damage,7,SkillTarget,Attack,2,Self,None,0,None,None,0,0,None,24_242_effect,808,0
243,0,1,0,0,0,Reflect,2,Self,Resist,1,Self,None,0,None,None,0,0,None,,814,0.7
251,1,3,1,1,1,Damage,9,SkillTarget,Scar,2,SkillTarget,None,0,None,None,0,0,None,25_251_effect,812,0
252,0,1,0,0,0,Heal,5,Self,Defense,3,Self,None,0,None,None,0,0,None,,813,0.2
253,1,2,0,1,1,Damage,8,SkillTarget,Stun,3,SkillTarget,None,0,None,None,0,0,None,25_253_effect,822,0.05
254,1,3,1,1,1,Damage,10,SkillTarget,Burn,3,SkillTarget,None,0,None,None,0,0,None,,821,2.31
255,2,3,1,1,1,CleanseDebuff,0,SkillTarget,Attack,3,SkillTarget,None,0,None,None,0,0,None,,824,0.2
301,2,3,1,1,1,Heal,3,SkillTarget,Defense,1,SkillTarget,None,0,None,None,0,0,None,,813,0.6
302,1,1,1,1,0,Damage,6,SkillTarget,Scar,2,SkillTarget,None,0,None,None,0,0,None,,809,0.15
311,2,3,1,1,1,Heal,3,SkillTarget,Penance,1,SkillTarget,None,0,None,None,0,0,None,31_311_effect,813,0.5
312,1,1,1,1,1,Damage,6,SkillTarget,Scar,2,SkillTarget,None,0,None,None,0,0,None,,820,1
321,1,1,1,1,1,Damage,5,SkillTarget,Stun,3,SkillTarget,None,0,None,None,0,0,None,,809,0.8
322,2,3,1,1,1,Attack,1,SkillTarget,Potential,1,None,None,0,None,None,0,0,PotentialIfBoss,,824,0.5
331,0,1,0,0,0,Heal,3,Self,Penance,1,Self,None,0,None,None,0,0,None,,813,0.2
332,0,1,0,0,0,Defense,1,Self,None,0,None,None,0,None,None,0,0,None,,824,0.2
333,1,1,1,1,1,Damage,5,SkillTarget,Stun,1,SkillTarget,None,0,None,None,0,0,None,,,
341,1,1,1,1,1,Damage,8,SkillTarget,Scar,2,SkillTarget,None,0,None,None,0,0,None,,809,0.1
342,1,1,1,1,0,Damage,6,SkillTarget,Heal,4,Self,None,0,None,None,0,0,None,,,
343,2,3,1,1,1,Attack,1,SkillTarget,Defense,1,SkillTarget,None,0,None,None,0,0,None,,824,1.1
351,1,3,1,1,1,Damage,10,SkillTarget,Burn,3,SkillTarget,None,0,None,None,0,0,None,,,
352,2,3,1,1,1,Heal,5,SkillTarget,Penance,1,SkillTarget,None,0,None,None,0,0,None,,813,0.2
353,2,3,1,1,1,Defense,2,SkillTarget,Resist,1,SkillTarget,None,0,None,None,0,0,None,,814,1.1
354,1,3,1,1,1,Attack,-1,SkillTarget,Stun,3,SkillTarget,None,0,None,None,0,0,None,,809,1.32
355,1,3,1,1,1,Damage,12,SkillTarget,Stun,5,SkillTarget,None,0,None,None,0,0,None,,,
411,2,3,1,1,1,Defense,1,SkillTarget,None,0,None,None,0,None,None,0,0,None,,,
412,1,2,1,1,1,Damage,5,SkillTarget,Scar,1,SkillTarget,None,0,None,None,0,0,None,,,
421,1,1,1,1,1,Damage,8,SkillTarget,None,0,None,None,0,None,None,0,0,CommanderMarkedStrike,,,
422,2,3,1,1,1,Formation,2,SkillTarget,Attack,1,SkillTarget,None,0,None,None,0,0,CommanderReorganize,,,
423,1,3,1,1,1,Damage,6,SkillTarget,None,3,None,None,0,None,None,0,0,CommanderCharge,,,
431,1,1,1,1,1,Damage,7,SkillTarget,Attack,-1,SkillTarget,None,0,None,None,0,0,None,,,
432,0,1,0,0,0,Defense,2,Self,Hap,1,Self,None,0,None,None,0,0,None,,,
433,1,1,1,1,1,Damage,10,SkillTarget,None,0,None,None,0,AddSelfStatusValueMultiply,Hap,4,0,ConsumeHap,,,
434,0,1,0,0,0,Defense,3,Self,Hap,1,Self,None,0,None,None,0,0,ForceNextIlsum,,,
441,0,1,0,0,0,Defense,2,Self,Attack,1,Self,None,0,None,None,0,0,None,,,
442,1,3,1,1,1,Damage,6,SkillTarget,Scar,2,SkillTarget,None,0,None,None,0,0,SamuraiSweep,,,
443,1,3,1,1,1,Damage,8,SkillTarget,Stun,2,SkillTarget,None,0,AddValueIfSelfHpBelow,None,3,50,None,,,
451,1,1,1,1,1,Damage,11,SkillTarget,Scar,3,SkillTarget,None,0,None,None,0,0,None,,,
452,1,2,1,1,1,Damage,8,SkillTarget,Defense,-2,SkillTarget,None,0,None,None,0,0,None,,,
453,1,3,1,1,1,Damage,6,SkillTarget,Stun,2,SkillTarget,None,0,None,None,0,0,None,,,
454,1,1,1,1,1,Damage,10,SkillTarget,Attack,-2,SkillTarget,None,0,None,None,0,0,None,,,
455,1,3,1,1,1,Damage,12,SkillTarget,Attack,3,Self,None,0,None,None,0,0,None,,,
461,1,1,1,1,1,Damage,6,SkillTarget,Defense,-1,SkillTarget,None,0,None,None,0,0,None,,,
462,1,1,1,1,1,Mark,1,SkillTarget,AssaultReady,1,Self,None,0,None,None,0,0,AssaultReady,,,
471,0,1,0,0,0,Defense,2,Self,None,0,None,None,0,None,None,0,0,None,,,
472,0,1,0,0,0,ShieldTactic,1,Self,Defense,1,Self,None,0,None,None,0,0,ShieldTactic,,,
481,1,1,1,1,1,Damage,4,SkillTarget,Combo,1,Self,None,0,None,None,0,0,None,,,
