Key,en,ko,ja
Event_0,Restore 10 HP to the entire party,파티 전체 - 체력 10 회복,パーティ全員 - HPを10回復
Event_1,"Sophia - Attack +1 , Defense +1 for this stage","소피아 - 이번 스테이지 동안 공격력 +1, 방어력 +1",ソフィア - このステージ中、攻撃力+1、防御力+1
Event_2,"Kyla - Attack +1 , Defense +1 for this stage","카일라 - 이번 스테이지 동안 공격력 +1, 방어력 +1",カイラ - このステージ中、攻撃力+1、防御力+1
Event_3,"Leon - Attack +1 , Defense +1 for this stage","레온 - 이번 스테이지 동안 공격력 +1, 방어력 +1",レオン - このステージ中、攻撃力+1、防御力+1
Event_4,Sophia - Reduce the cost of cards by 1 for the next battle,소피아 - 다음 전투 까지 사용하는 카드의 비용 1 감소,ソフィア - 次の戦闘まで、使用するカードのコストが1減少
Event_5,Party - Restore 5 HP,파티 전체 - 체력 5 회복,パーティ全員 - HPを5回復
Event_6,Obtain the card “Unstable Mixture”,불안정한 혼합물 카드 획득,カード「不安定な混合物」を獲得
Event_7,All enemies in this stage have 90% of their normal HP,이번 스테이지 동안 등장하는 적의 체력 90%로 감소,このステージ中、出現する敵のHPが10％減少
Event_8,Leon - Attack -2 for the next battle,레온 - 다음 전투 까지 공격력 2 감소,レオン - 次の戦闘まで、攻撃力が2減少
Event_9,Nothing happened,아무 일도 일어나지 않았다,何も起こらなかった
Event_10,Leon - Reduce the cost of cards by 1 for the next battle,레온 - 다음 전투 까지 사용하는 카드의 비용 1 감소,レオン - 次の戦闘まで、使用するカードのコストが1減少
Event_11,Leon - Cannot use defense cards for this stage,레온 - 이번 스테이지 동안 방어 카드 사용 불가,レオン - このステージ中、防御カードが使用不可
Event_12,Obtain the card “Left Behind Heart”,남겨진 마음 카드 획득,カード「残された心」を獲得
Event_13,Party- Attack +1 for the next battle,파티 전체 - 다음 전투 까지 공격력 1 증가,パーティ全員 - 次の戦闘まで、攻撃力が1上昇
Event_14,Battle occurs!,전투 발생!,戦闘発生！
Event_15,Sophia - 5 HP lose,소피아 - 체력 5 감소,ソフィア - HPが5減少
Event_16,Party - 15 HP lose,파티 전체 - 체력 15 감소,パーティ全員 - HPが15減少
Event_17,Kyla - Attack +1 for this stage,카일라 - 이번 스테이지 동안 공격력 +1,カイラ - このステージ中、攻撃力が +1
Event_18,Sophia - Attack +1 for this stage,소피아 - 이번 스테이지 동안 공격력 +1,ソフィア - このステージ中、攻撃力が +1
Event_19,Leon - Attack +1 for this stage,레온 - 이번 스테이지 동안 공격력 +1,レオン - このステージ中、攻撃力が +1
Event_20,Kyla - Attack -1 for this stage,카일라 - 이번 스테이지 동안 공격력 -1,カイラ - このステージ中、攻撃力が -1
Event_21,Sophia -  Attack -2 for this stage,소피아 - 이번 스테이지 동안 공격력 -2,ソフィア - このステージ中、攻撃力が -2
Event_22,Sophia - Attack +2 until the story ends,소피아 - 이야기가 끝날 때까지 공격력 +2,ソフィア - 物語が終わるまで攻撃力が +2
Event_23,Kyla - 5 HP lose,카일라 - 체력 5 감소,カイラ - HPが5減少
Event_24,Leon - 5 HP lose,레온 - 체력 5 감소,レオン - HPが5減少
Event_25,Leon - 1 HP lose,레온 - 체력 1 감소,レオン - HPが1減少
Event_26,Kyla - Reduce the cost of cards by 1 for the next battle,카일라 - 다음 전투 까지 사용하는 카드의 비용 1 감소,カイラ - 次の戦闘まで、使用するカードのコストが1減少
Event_27,Sophia - Increase the cost of Fire-type cards by 1 for this stage,소피아 - 이번 스테이지 동안 화염 타입 카드 비용 1 증가,ソフィア - このステージ中、炎属性カードのコストが1増加
Event_28,Party - 5 HP lose,파티 전체 - 체력 5 감소,パーティ全員 - HPが5減少
Event_29,Kyla - Healing skill effect -1 for the next battle,카일라 - 다음 전투까지 회복 스킬 효과 -1,カイラ - 次の戦闘まで、回復スキルの効果 -1
