Key,en,ko,ja
Event_Title_10000,Spring of Wisdom,공백,英知の泉
Event_Desc_10000,Spring of Wisdom,공백,英知の泉
Event_OptionA_10000,Spring of Wisdom,공백,英知の泉
Event_ResultA1_10000,Spring of Wisdom,공백,英知の泉
Event_ResultA2_10000,Spring of Wisdom,공백,英知の泉
Event_OptionB_10000,Spring of Wisdom,공백,英知の泉
Event_ResultB1_10000,Spring of Wisdom,공백,英知の泉
Event_ResultB2_10000,""" """,""" """,""" """
Event_Title_10001,Small Ember,작은 불씨,大きなラモンの木  
Event_Desc_10001,"As they walked along a peaceful road,\na small spark suddenly burst from Sophia’s bag with a <shake_gr_R>crackle!</shake_gr_R>\nAt first, it looked like a <gr_R>tiny ember</gr_R>,\nbut soon, <shake_gr_R>fizzing and popping</shake_gr_R> sounds came from inside as a chemical reaction began.\nGlass bottles shattered, and as the mixed reagents spewed smoke,\nthe flames quickly spread like a <wave_gr_O>red tongue</wave_gr_O>.\nStartled, Sophia clutched her bag and shouted:\n\n“Oh no...! The alchemy ingredients are reacting with each other! If I leave them like this, everything will be lost...”\n\n<wave_gr_O>The flames</wave_gr_O> quickly threatened to engulf the entire bag before she could do anything.\nA decision had to be made immediately.","한동안 평화롭게 이어지던 길 위,\n소피아의 가방에서 <shake_gr_R>파직-!</shake_gr_R> 하고 작은 불꽃이 튀어 올랐다.\n처음엔 <gr_R>작은 불씨</gr_R>처럼 보였지만,\n곧바로 가방 안에서 <shake_gr_R>치익! 퍽!</shake_gr_R> 하는 소리와 함께 화학 반응이 이어졌다.\n유리병이 깨지고, 섞인 약품이 연기를 내뿜자\n불꽃은 금세 <wave_gr_O>붉은 혓바닥</wave_gr_O>처럼 번져나갔다.\n소피아는 놀란 듯 가방을 움켜쥐며 외쳤다.\n\n“이런…! 연금술 재료들이 서로 반응하잖아! 그대로 두면 전부 소실되겠어...”\n\n<wave_gr_O>불길</wave_gr_O>은 금세 손쓸 틈도 없이 가방 전체를 집어삼킬 기세였다.\n당장 결정을 내려야 한다.",穏やかな道を歩いていると、\nソフィアのカバンから<shake_gr_R>パチッ！</shake_gr_R>と小さな火花が飛び出した。\n最初は<gr_R>小さな火種</gr_R>のように見えたが、\nすぐにカバンの中から<shake_gr_R>シューッ！ ボンッ！</shake_gr_R>という音が響き、化学反応が起こり始めた。\nガラス瓶が割れ、混ざった薬品が煙を上げると、\n炎はたちまち<wave_gr_O>赤い舌</wave_gr_O>のように広がっていった。\n驚いたソフィアはカバンを抱えながら叫んだ。\n\n「しまった…！ 錬金術の素材が反応してる！ このままじゃ全部燃えちゃう…！」\n\n<wave_gr_O>炎</wave_gr_O>はすぐにカバン全体を飲み込もうとする勢いだった。\n今すぐ決断を下さなければならない。
Event_OptionA_10001,Throw away the bag,가방을 벗어 던진다,カバンを投げ捨てる。
Event_ResultA1_10001,"Sophia clenched her teeth and hurled the bag to the ground.\nWith a <shake_gr_R>boom!</shake_gr_R>, a small explosion erupted,\nand the bag was quickly engulfed in <wave_gr_O>flames</wave_gr_O> and thick smoke.\nThe fire did not spread any further,\nbut most of the potions and reagents inside were either <gr_P>scorched black</gr_P> or spilled into the mud.\nSophia picked up the remaining shards of glass, her face twisting into a bitter expression.","소피아는 이를 악 물고 가방을 땅에 내던졌다.\n<shake_gr_R>펑!</shake_gr_R> 하고 작은 폭발이 일어나더니,\n짙은 연기와 함께 가방은 <wave_gr_O>불길</wave_gr_O>에 휩싸였다.\n불은 더 이상 번지지 않았지만,\n안에 있던 물약과 약제 대부분은 <gr_P>새까맣게 타거나</gr_P> 흘러나와 진흙 속에 섞여버렸다.\n소피아는 남은 유리 조각을 주워 들며 씁쓸한 표정을 지었다.",ソフィアは歯を食いしばり、カバンを地面に投げつけた。\n<shake_gr_R>ドンッ！</shake_gr_R>と小さな爆発が起こり、\n濃い煙とともにカバンは<wave_gr_O>炎</wave_gr_O>に包まれた。\n火はそれ以上広がらなかったが、\n中にあった薬品や材料のほとんどは<gr_P>黒焦げ</gr_P>になるか、泥の中にこぼれ落ちてしまった。\nソフィアは残ったガラスの欠片を拾い上げ、苦い表情を浮かべた。
Event_ResultA2_10001,""" """,""" """,""" """
Event_OptionB_10001,Leon rushes to fetch water from the pond,레온이 연못에서 물을 받아온다,レオンが池の水を汲みに走る。
Event_ResultB1_10001,"Seeing the situation, Leon shouted quickly.\n\n“Hang on! I’ll grab some water from the nearby pond!”\n\nLeon soon returned and poured the water over <gr_R>the bag</gr_R> all at once.\n<shake_gr_SB>Ssshhh!</shake_gr_SB> Black smoke rose as the flames were instantly extinguished.\nA few potion bottles inside were broken, but fortunately, most of them survived.","상황을 본 레온이 빠르게 외쳤다.\n\n“잠깐 버텨! 근처 연못에서 물을 가져올게!”\n\n금방 돌아온 레온이 <gr_R>가방</gr_R> 위로 물을 한꺼번에 쏟아부었다.\n<shake_gr_SB>치이이익!</shake_gr_SB> 소리와 함께 검은 연기가 솟구쳤고, 불꽃은 순식간에 꺼져버렸다.\n안쪽의 몇몇 물약병이 깨지긴 했지만, 다행히 대부분은 무사했다.",状況を見たレオンが素早く叫んだ。\n\n「ちょっと待って！近くの池から水を取ってくる！」\n\nすぐに戻ってきたレオンが、<gr_R>バッグ</gr_R>の上に一気に水を注いだ。\n<shake_gr_SB>ジューッ</shake_gr_SB>という音とともに黒い煙が立ち上がり、炎はあっという間に消えた。\n中のいくつかの薬瓶は割れてしまったが、幸いほとんどは無事だった。 
Event_ResultB2_10001,"Seeing the situation, Leon shouted quickly.\n\n“Hang on! I’ll grab some water from the nearby pond!”\n\nLeon hurried back, but the bag was already engulfed in black flames.\nHe poured the water, but all that remained were <gr_BK>burnt ashes.</gr_BK>\nSophia lifted the charred bag and hung her head low.","상황을 본 레온이 빠르게 외쳤다.\n\n“잠깐 버텨! 근처 연못에서 물을 가져올게!”\n\n레온이 서둘러 다녀왔지만, 이미 가방은 검게 타오르고 있었다.\n물을 부었으나, 남은 건 다 타버린 재뿐이었다.\n소피아는 <gr_BK>불탄 가방</gr_BK>을 들어 올리다 고개를 푹 떨궜다.",状況を見たレオンが素早く叫んだ。\n\n「ちょっと待って！近くの池から水を取ってくる！」\n\nレオンは急いで戻ってきたが、すでにバッグは黒く燃え上がっていた。\n水をかけたものの、残ったのは燃え尽きた灰だけだった。\nソフィアは<gr_BK>焼け焦げたバッグ</gr_BK>を持ち上げ、深くうつむいた。
Event_Title_10002,Neglected Ancient Book,방치된 고서,放置された古書
